balance_ratio,sim_calculation_type,batch_size,n_iter,sim_type,improvement_ratio
-1,-1,-1,-1,1,-1.5599000569963604
-1,-1,-1,-1,1,-1.9169200058734914
-1,-1,-1,-1,1,-1.689267547016884
-1,-1,-1,-1,1,-1.7632742282718916
-1,-1,-1,-1,1,-1.8399056991268916
-1,-1,-1,-1,1,-1.5701722869032364
-1,-1,-1,-1,1,-1.9377619790631333
-1,-1,-1,-1,1,-1.664303799162826
-1,-1,-1,-1,1,-1.7505677767071781
-1,-1,-1,-1,1,-1.7652226283025316
-1,-1,-1,-1,1,-1.5679893380132754
-1,-1,-1,-1,1,-1.9834912313005109
-1,-1,-1,-1,1,-1.6962536159694697
-1,-1,-1,-1,1,-1.676634106501935
-1,-1,-1,-1,1,-1.6172196987630436
-1,-1,-1,-1,1,-1.720763241326946
-1,-1,-1,-1,1,-2.0579749078120937
-1,-1,-1,-1,1,-1.754583961990918
-1,-1,-1,-1,1,-1.6933336294036623
-1,-1,-1,-1,1,-1.7749524991670507
-1,-1,-1,-1,1,-1.9105381074392374
-1,-1,-1,-1,1,-1.9644032771840703
-1,-1,-1,-1,1,-1.6103276380148706
-1,-1,-1,-1,1,-1.8537087236389644
-1,-1,-1,-1,1,-1.5959081122827095
-1,-1,-1,-1,1,-1.686252224633908
-1,-1,-1,-1,1,-1.864620843520539
-1,-1,-1,-1,1,-1.6596806805579207
-1,-1,-1,-1,1,-1.518502333196847
-1,-1,-1,-1,1,-1.6459394311495072
-1,-1,-1,-1,1,-1.5845513782958385
-1,-1,-1,-1,1,-1.8873646651372977
-1,-1,-1,-1,1,-2.0860045546978414
-1,-1,-1,-1,1,-1.723566155227876
-1,-1,-1,-1,1,-1.589655845565867
-1,-1,-1,-1,1,-1.7570655627093914
-1,-1,-1,-1,1,-2.1215482120338036
-1,-1,-1,-1,1,-1.6830701806055635
-1,-1,-1,-1,1,-1.605859966749161
-1,-1,-1,-1,1,-1.7424774622442996
-1,-1,-1,-1,1,-1.571324381786052
-1,-1,-1,-1,1,-1.9839775681802303
-1,-1,-1,-1,1,-1.698815030739172
-1,-1,-1,1,-1,-2.00777716058808
-1,-1,-1,1,-1,-1.7714838611110095
-1,-1,-1,1,-1,-2.0737786010223975
-1,-1,-1,1,-1,-2.615536542815528
-1,-1,-1,1,-1,-2.0241850637067755
-1,-1,-1,1,-1,-1.7822816813589022
-1,-1,-1,1,-1,-1.6533277821997698
-1,-1,-1,1,-1,-1.671343545854781
-1,-1,-1,1,-1,-2.881015474206942
-1,-1,-1,1,-1,-2.157899901050658
-1,-1,-1,1,-1,-1.757784837111107
-1,-1,-1,1,-1,-1.3725264427784731
