balance_ratio,sim_calculation_type,batch_size,n_iter,sim_type,improvement_ratio
-1,-1,-1,1,-1,-0.030253971665890517
-1,-1,-1,1,-1,-0.043451226204055796
-1,-1,-1,1,-1,0.03169597925525637
-1,-1,-1,1,-1,-0.053055954173312936
-1,-1,-1,1,-1,-0.0896607661972596
-1,-1,-1,1,-1,-0.010730685537731566
-1,-1,-1,1,-1,-0.010979699625597708
-1,-1,-1,1,-1,0.01108575787069526
-1,-1,-1,1,-1,-0.05057934735221308
-1,-1,-1,1,-1,-0.13783258624984718
-1,-1,-1,1,-1,-0.01503775660555514
-1,-1,-1,1,-1,-0.02758576698776884
-1,-1,-1,1,-1,-0.002443424456310359
-1,-1,-1,1,-1,0.006239823531684475
-1,-1,-1,1,-1,-0.09211565702136201
-1,-1,-1,1,-1,-0.06641342346863922
-1,-1,-1,1,-1,-0.024305303708085264
-1,-1,-1,1,-1,0.0579404695954034
-1,-1,-1,1,-1,-0.04303733635235672
-1,-1,-1,1,-1,-0.03386732274068386
-1,-1,-1,1,-1,-0.02953109291436285
-1,-1,-1,1,-1,-0.01943368176588081
-1,-1,-1,1,-1,0.020813807286749798
-1,-1,-1,1,-1,-0.036433068156963934
-1,-1,-1,1,-1,-0.0596019538527337
-1,-1,-1,1,-1,-0.01228271885871228
-1,-1,-1,1,-1,-0.00866176426215549
-1,-1,-1,1,-1,-0.006014161184993831
-1,-1,-1,1,-1,-0.047969834688523755
-1,-1,-1,1,-1,0.016264074704606477
-1,-1,-1,1,-1,-0.02828424846949847
-1,-1,-1,1,-1,-0.06436672064993461
-1,-1,-1,1,-1,-0.02623057662047057
-1,-1,-1,1,-1,-0.04233510125779227
-1,-1,-1,1,-1,-0.10153943267283931
-1,-1,-1,1,-1,-0.04618175889218424
-1,-1,-1,1,0,0.02154334912128033
-1,-1,-1,1,0,0.019011856160746823
-1,-1,-1,1,0,0.013409029800783102
-1,-1,-1,1,0,-0.06205159075490193
-1,-1,-1,1,0,-0.004302561885417298
-1,-1,-1,1,0,-0.002564979655418621
-1,-1,-1,1,0,0.015055280831353046
-1,-1,-1,1,0,0.005769303765268509
-1,-1,-1,1,0,-0.02014179102489539
-1,-1,-1,1,0,-0.0361654712085969
-1,-1,-1,1,0,0.03395524478479266
-1,-1,-1,1,0,0.0738294329412456
-1,-1,-1,1,0,0.020884930795287044
-1,-1,-1,1,0,-0.024263758042909846
-1,-1,-1,1,0,-0.026297103720336522
-1,-1,-1,1,0,0.00890711097312286
-1,-1,-1,1,0,0.036617893805586575
-1,-1,-1,1,0,0.019650640994803962
-1,-1,-1,1,0,-0.021628533003221814
-1,-1,-1,1,0,0.023841801312796215
-1,-1,-1,1,0,-0.01703610247840564
-1,-1,-1,1,0,0.0405251094634801
-1,-1,-1,1,0,0.01597147081728905
-1,-1,-1,1,0,-0.021781259822653432
-1,-1,-1,1,0,0.0064555807134614685
-1,-1,-1,1,0,0.009551025712308954
-1,-1,-1,1,0,0.015092873947168815
-1,-1,-1,1,0,0.003830362640999067
-1,-1,-1,1,0,-0.0007132838067577896
-1,-1,-1,1,0,0.02084158290798952
-1,-1,-1,1,0,0.009380757128690772
-1,-1,-1,1,0,0.04984877733171246
-1,-1,-1,1,0,-0.0005158034343292995
-1,-1,-1,1,0,-0.021806585157908724
